participant,trial_num,type,true_value,reported_value,error
7,12,bar,45,50.0,-5.0
7,13,pie,5,10.0,-5.0
7,14,pie,30,25.0,5.0
7,15,pie,80,90.0,-10.0
7,16,pie,40,30.0,10.0
7,17,bar,5,10.0,-5.0
7,18,bar,80,90.0,-10.0
7,19,bubble,25,40.0,-15.0
7,20,bar,15,20.0,-5.0
7,21,pie,35,30.0,5.0
7,22,bar,35,30.0,5.0
7,23,bar,85,80.0,5.0
7,24,bar,55,50.0,5.0
7,25,pie,90,100.0,-10.0
7,26,bar,65,60.0,5.0
7,27,bar,75,75.0,0.0
7,28,bar,60,60.0,0.0
7,29,bar,25,25.0,0.0
7,30,bubble,30,50.0,-20.0
7,31,bubble,85,90.0,-5.0
7,32,bubble,45,60.0,-15.0
7,33,pie,95,100.0,-5.0
7,34,pie,15,15.0,0.0
7,35,bubble,40,60.0,-20.0
7,36,pie,100,100.0,0.0
7,37,pie,65,60.0,5.0
7,38,bar,50,50.0,0.0
7,39,pie,10,10.0,0.0
7,40,bubble,60,80.0,-20.0
7,41,bubble,95,100.0,-5.0
7,42,bar,95,90.0,5.0
7,43,bubble,50,60.0,-10.0
7,44,bubble,75,80.0,-5.0
7,45,pie,45,30.0,15.0
7,46,bar,40,40.0,0.0
7,47,bar,30,75.0,-45.0
7,48,bubble,20,30.0,-10.0
7,49,bubble,90,100.0,-10.0
7,50,bubble,65,80.0,-15.0
7,51,bar,20,20.0,0.0
7,52,bubble,70,80.0,-10.0
7,53,pie,55,60.0,-5.0
7,54,bar,100,100.0,0.0
7,55,bar,90,90.0,0.0
7,56,bubble,10,25.0,-15.0
7,57,bubble,5,20.0,-15.0
7,58,pie,20,20.0,0.0
7,59,bubble,80,90.0,-10.0
7,60,bubble,15,25.0,-10.0
8,1,pie,80,67.0,13.0
8,2,pie,30,20.0,10.0
8,3,pie,25,25.0,0.0
8,4,bar,80,90.0,-10.0
8,5,bubble,45,50.0,-5.0
8,6,bar,25,30.0,-5.0
8,7,pie,90,90.0,0.0
8,8,bar,55,60.0,-5.0
8,9,bar,35,40.0,-5.0
8,10,bar,85,90.0,-5.0
8,11,pie,20,15.0,5.0
8,12,bubble,85,98.0,-13.0
8,13,bar,40,45.0,-5.0
8,14,bar,90,95.0,-5.0
8,15,bubble,20,30.0,-10.0
8,16,bubble,30,25.0,5.0
8,17,bar,65,65.0,0.0
8,18,pie,40,33.0,7.0
8,19,bubble,100,100.0,0.0
8,20,pie,95,98.0,-3.0
8,21,pie,75,80.0,-5.0
8,22,pie,70,80.0,-10.0
8,23,bubble,15,20.0,-5.0
8,24,bar,75,85.0,-10.0
8,25,pie,5,5.0,0.0
8,26,bubble,65,67.0,-2.0
8,27,pie,10,10.0,0.0
8,28,bar,15,20.0,-5.0
8,29,bar,20,20.0,0.0
8,30,pie,85,67.0,18.0
8,31,bubble,95,100.0,-5.0
8,32,bubble,70,85.0,-15.0
8,33,bar,60,67.0,-7.0
8,34,pie,35,25.0,10.0
8,35,bubble,40,55.0,-15.0
8,36,pie,55,50.0,5.0
8,37,bar,95,97.0,-2.0
8,38,bar,10,10.0,0.0
8,39,pie,50,50.0,0.0
8,40,bubble,10,20.0,-10.0
8,41,bubble,75,90.0,-15.0
8,42,bubble,35,33.0,2.0
8,43,pie,60,50.0,10.0
8,44,pie,15,10.0,5.0
8,45,bubble,80,80.0,0.0
8,46,bubble,55,80.0,-25.0
8,47,bar,30,40.0,-10.0
8,48,bar,100,100.0,0.0
8,49,bubble,5,15.0,-10.0
8,50,bar,5,5.0,0.0
8,51,bubble,50,50.0,0.0
8,52,bubble,60,60.0,0.0
8,53,bubble,90,95.0,-5.0
8,54,bar,70,67.0,3.0
8,55,bar,50,50.0,0.0
8,56,pie,100,100.0,0.0
8,57,pie,65,50.0,15.0
8,58,bar,45,50.0,-5.0
8,59,pie,45,50.0,-5.0
8,60,bubble,25,45.0,-20.0
9,1,pie,85,100.0,-15.0
9,2,bar,75,80.0,-5.0
9,3,bar,10,5.0,5.0
9,4,bubble,75,95.0,-20.0
9,5,pie,95,100.0,-5.0
9,6,bubble,90,100.0,-10.0
9,7,pie,30,20.0,10.0
9,8,pie,75,75.0,0.0
9,9,pie,20,12.5,7.5
9,10,bar,55,50.0,5.0
9,11,bar,90,95.0,-5.0
9,12,bar,100,100.0,0.0
9,13,pie,35,33.0,2.0
9,14,pie,10,5.0,5.0
9,15,pie,80,100.0,-20.0
9,16,bar,60,60.0,0.0
9,17,pie,50,50.0,0.0
9,18,bubble,60,75.0,-15.0
9,19,bubble,30,25.0,5.0
9,20,bar,85,90.0,-5.0
9,21,bubble,70,75.0,-5.0
9,22,bar,25,20.0,5.0
9,23,bubble,80,95.0,-15.0
9,24,bar,5,5.0,0.0
9,25,pie,55,66.0,-11.0
9,26,pie,60,75.0,-15.0
9,27,bubble,100,100.0,0.0
9,28,pie,15,10.0,5.0
9,29,bar,20,20.0,0.0
9,30,bar,45,40.0,5.0
9,31,bar,30,33.0,-3.0
9,32,bubble,45,50.0,-5.0
9,33,pie,40,33.0,7.0
9,34,bubble,95,100.0,-5.0
9,35,pie,70,80.0,-10.0
9,36,bubble,40,60.0,-20.0
9,37,pie,65,66.0,-1.0
9,38,bar,50,50.0,0.0
9,39,bubble,50,75.0,-25.0
9,40,bubble,10,10.0,0.0
9,41,bubble,25,20.0,5.0
9,42,bar,80,80.0,0.0
9,43,bubble,20,25.0,-5.0
9,44,bubble,55,66.0,-11.0
9,45,pie,25,20.0,5.0
9,46,bubble,65,80.0,-15.0
9,47,bar,65,75.0,-10.0
9,48,pie,100,100.0,0.0
9,49,bubble,35,50.0,-15.0
9,50,bar,95,95.0,0.0
9,51,pie,45,50.0,-5.0
9,52,bar,35,40.0,-5.0
9,53,bar,15,20.0,-5.0
9,54,bar,70,75.0,-5.0
9,55,bubble,5,10.0,-5.0
9,56,pie,5,5.0,0.0
9,57,bubble,85,95.0,-10.0
9,58,pie,90,100.0,-10.0
9,59,bubble,15,25.0,-10.0
9,60,bar,40,40.0,0.0
10,1,bubble,35,50.0,-15.0
10,2,bubble,50,60.0,-10.0
10,3,pie,25,25.0,0.0
10,4,pie,70,70.0,0.0
10,5,bubble,55,70.0,-15.0
10,6,pie,35,30.0,5.0
10,7,pie,65,70.0,-5.0
10,8,bubble,30,40.0,-10.0
10,9,bar,45,50.0,-5.0
10,10,pie,80,85.0,-5.0
10,11,pie,75,60.0,15.0
10,12,bubble,15,30.0,-15.0
10,13,bar,95,95.0,0.0
10,14,bar,60,60.0,0.0
10,15,bar,30,30.0,0.0
10,16,bar,85,90.0,-5.0
10,17,bubble,45,70.0,-25.0
10,18,bubble,20,30.0,-10.0
10,19,pie,20,10.0,10.0
10,20,pie,5,5.0,0.0
10,21,bar,70,75.0,-5.0
10,22,bubble,80,90.0,-10.0
10,23,bubble,5,10.0,-5.0
10,24,bar,20,15.0,5.0
10,25,pie,10,10.0,0.0
10,26,bar,5,5.0,0.0
10,27,bubble,100,100.0,0.0
10,28,bar,40,40.0,0.0
10,29,bubble,85,95.0,-10.0
10,30,bar,15,10.0,5.0
10,31,bubble,90,95.0,-5.0
10,32,bubble,75,85.0,-10.0
10,33,bubble,60,70.0,-10.0
10,34,bubble,25,40.0,-15.0
10,35,pie,40,30.0,10.0
10,36,bubble,65,60.0,5.0
10,37,pie,30,30.0,0.0
10,38,bubble,70,70.0,0.0
10,39,bar,55,50.0,5.0
10,40,pie,60,50.0,10.0
10,41,bar,90,90.0,0.0
10,42,bar,35,30.0,5.0
10,43,bubble,95,100.0,-5.0
10,44,bar,80,80.0,0.0
10,45,pie,85,100.0,-15.0
10,46,pie,50,50.0,0.0
10,47,pie,90,70.0,20.0
10,48,bar,65,60.0,5.0
10,49,bar,10,5.0,5.0
10,50,bubble,10,15.0,-5.0
10,51,pie,15,10.0,5.0
10,52,bubble,40,60.0,-20.0
10,53,pie,55,60.0,-5.0
10,54,bar,100,100.0,0.0
10,55,bar,50,50.0,0.0
10,56,pie,95,50.0,45.0
10,57,bar,75,75.0,0.0
10,58,pie,45,40.0,5.0
10,59,bar,25,25.0,0.0
10,60,pie,100,90.0,10.0
